Date,Open,High,Low,Close,Adj Close,Volume
2013-12-30,152.320007,153.199997,146.550003,149.559998,149.559998,15145800
2014-01-06,150.000000,153.699997,142.250000,145.720001,145.720001,29386500
2014-01-13,145.779999,173.199997,136.669998,170.009995,170.009995,75554300
2014-01-20,171.240005,182.380005,170.809998,174.600006,174.600006,32289000
2014-01-27,175.160004,186.000000,164.710007,181.410004,181.410004,35819100
2014-02-03,182.889999,186.630005,169.360001,186.529999,186.529999,33489300
2014-02-10,189.339996,202.720001,189.320007,198.229996,198.229996,43041600
2014-02-17,205.240005,215.210007,193.410004,209.600006,209.600006,51322900
2014-02-24,208.759995,265.000000,208.320007,244.809998,244.809998,98100300
2014-03-03,237.259995,260.000000,234.990005,246.210007,246.210007,42944000
2014-03-10,242.699997,247.500000,228.320007,230.970001,230.970001,40818600
2014-03-17,234.949997,241.550003,227.500000,228.889999,228.889999,29261000
2014-03-24,229.750000,229.899994,203.000000,212.369995,212.369995,45282000
2014-03-31,216.500000,235.729996,206.389999,212.229996,212.229996,48803000
2014-04-07,205.809998,218.449997,198.600006,203.779999,203.779999,38181400
2014-04-14,207.600006,208.440002,184.320007,198.119995,198.119995,34491300
2014-04-21,197.080002,219.330002,194.000000,199.850006,199.850006,34850400
2014-04-28,200.000000,214.020004,190.500000,210.910004,210.910004,26788400
2014-05-05,209.479996,218.660004,177.220001,182.259995,182.259995,49514800
2014-05-12,183.869995,193.479996,179.880005,191.559998,191.559998,30034300
2014-05-19,190.720001,207.759995,190.000000,207.300003,207.300003,25624500
2014-05-26,208.520004,214.800003,205.259995,207.770004,207.770004,20109800
2014-06-02,207.330002,210.809998,200.399994,208.169998,208.169998,19084700
2014-06-09,207.949997,209.990005,199.250000,206.419998,206.419998,19835900
2014-06-16,206.759995,235.539993,206.259995,229.589996,229.589996,47188500
2014-06-23,229.509995,241.880005,228.220001,239.059998,239.059998,32425000
2014-06-30,239.550003,244.490005,224.000000,229.250000,229.250000,22358800
2014-07-07,227.500000,229.779999,214.270004,218.130005,218.130005,26011500
2014-07-14,219.990005,228.789993,213.600006,220.020004,220.020004,25869300
2014-07-21,217.250000,226.970001,216.720001,223.570007,223.570007,15968100
2014-07-28,224.250000,237.500000,221.039993,233.270004,233.270004,34469400
2014-08-04,234.380005,256.690002,233.270004,248.130005,248.130005,33166600
2014-08-11,255.479996,265.640015,254.580002,262.010010,262.010010,29410700
2014-08-18,263.250000,267.260010,251.619995,256.779999,256.779999,19960900
2014-08-25,258.190002,272.000000,258.190002,269.700012,269.700012,20413200
2014-09-01,275.500000,291.420013,272.510010,277.390015,277.390015,36136300
2014-09-08,277.619995,285.489990,273.660004,279.200012,279.200012,20932400
2014-09-15,274.369995,274.399994,249.130005,259.320007,259.320007,40436700
