Date,Open,High,Low,Close,Adj Close,Volume
2013-12-30,37.400002,37.580002,36.599998,36.910000,32.362835,79270500
2014-01-06,36.849998,36.889999,35.400002,36.040001,31.600014,216443300
2014-01-13,35.990002,37.000000,34.630001,36.380001,31.898146,216624000
2014-01-20,36.820000,37.549999,35.520000,36.810001,32.275166,173821100
2014-01-27,36.869999,37.889999,35.750000,37.840000,33.178257,261570800
2014-02-03,37.740002,37.990002,35.689999,36.560001,32.055962,243187700
2014-02-10,36.630001,37.860001,36.290001,37.619999,32.985371,155003200
2014-02-17,37.630001,38.349998,37.209999,37.980000,33.301022,128131800
2014-02-24,37.689999,38.459999,37.189999,38.310001,33.842247,178981800
2014-03-03,37.919998,38.480000,37.490002,37.900002,33.480068,127213800
2014-03-10,37.990002,38.450001,37.509998,37.700001,33.303394,134082400
2014-03-17,37.900002,40.939999,37.790001,40.160000,35.476494,260132300
2014-03-24,40.340000,40.990002,39.340000,40.299999,35.600174,210110900
2014-03-31,40.430000,41.660000,39.639999,39.869999,35.220318,189707200
2014-04-07,39.959999,40.689999,39.000000,39.209999,34.637295,181167900
2014-04-14,39.110001,40.419998,38.900002,40.009998,35.343998,133279500
2014-04-21,40.130001,40.680000,39.299999,39.910000,35.255661,173139100
2014-04-28,40.139999,41.290001,39.660000,39.689999,35.061306,187909100
2014-05-05,39.520000,39.900002,38.509998,39.540001,34.928810,153085800
2014-05-12,39.740002,40.500000,39.270000,39.830002,35.184994,136266400
2014-05-19,39.610001,40.369999,39.459999,40.119999,35.691181,106478800
2014-05-26,40.259998,40.970001,39.810001,40.939999,36.420677,106327900
2014-06-02,40.950001,41.660000,39.860001,41.480000,36.901066,115707900
2014-06-09,41.389999,41.570000,40.290001,41.230000,36.678658,104305800
2014-06-16,41.040001,41.910000,40.340000,41.680000,37.078991,141414000
2014-06-23,41.730000,42.290001,41.430000,42.250000,37.586067,163546500
2014-06-30,42.169998,42.209999,41.529999,41.799999,37.185738,93887500
2014-07-07,41.750000,42.119999,41.049999,42.090000,37.443733,117554200
2014-07-14,42.220001,45.709999,42.029999,44.689999,39.756718,239535600
2014-07-21,44.560001,45.450001,44.220001,44.500000,39.587696,190526100
2014-07-28,44.360001,44.509998,42.599998,42.860001,38.128727,152076500
2014-08-04,42.970001,43.470001,42.209999,43.200001,38.431206,144435400
2014-08-11,43.259998,44.900002,43.000000,44.790001,39.845680,125596700
2014-08-18,44.939999,45.470001,44.680000,45.150002,40.165943,120381100
2014-08-25,45.400002,45.439999,44.610001,45.430000,40.667454,92336200
2014-09-01,45.430000,45.930000,44.529999,45.910000,41.097130,120076200
2014-09-08,46.020000,47.020000,45.990002,46.700001,41.804314,180802600
2014-09-15,46.540001,47.570000,46.099998,47.520000,42.538345,341969100
2014-09-22,47.299999,47.380001,45.759998,46.410000,41.544716,158855300
2014-09-29,45.980000,46.560001,45.610001,46.090000,41.258266,154785100
2014-10-06,46.119999,46.889999,43.950001,44.029999,39.414215,165759600
2014-10-13,43.820000,44.560001,42.099998,43.630001,39.056164,225158300
2014-10-20,43.060001,46.900002,42.810001,46.130001,41.294075,211061200
2014-10-27,45.709999,46.970001,45.709999,46.950001,42.028111,155620800
2014-11-03,46.889999,48.919998,46.730000,48.680000,43.576752,128149200
2014-11-10,48.650002,50.049999,48.520000,49.580002,44.382393,137829500
2014-11-17,49.410000,49.709999,47.570000,47.980000,42.950138,144887000
2014-11-24,47.990002,48.200001,47.279999,47.810001,43.067890,112140200
2014-12-01,47.880001,49.060001,47.709999,48.419998,43.617382,138133700
2014-12-08,48.259998,48.349998,46.669998,46.950001,42.293186,144734200
2014-12-15,47.200001,48.099998,44.900002,47.660000,42.932766,216676900
2014-12-22,47.779999,48.799999,47.709999,47.880001,43.130943,74849700
2014-12-29,47.700001,47.779999,46.450001,46.759998,42.122040,80290600
2015-01-05,46.369999,47.820000,45.490002,47.189999,42.509384,158825300
2015-01-12,47.419998,47.910000,45.169998,46.240002,41.653610,157088200
2015-01-19,46.299999,47.389999,45.480000,47.180000,42.500378,137352600
2015-01-26,47.000000,47.130001,40.349998,40.400002,36.392864,437786800
2015-02-02,40.590000,42.790001,40.230000,42.410000,38.203495,215214500
2015-02-09,42.240002,43.869999,42.180000,43.869999,39.518677,172848000
2015-02-16,43.970001,44.000000,43.049999,43.860001,39.509682,118131900
2015-02-23,43.700001,44.299999,43.650002,43.849998,39.781765,150315300
2015-03-02,43.669998,44.189999,42.150002,42.360001,38.430016,148863600
2015-03-09,42.189999,43.130001,40.610001,41.380001,37.540939,221483200
2015-03-16,41.470001,42.980000,41.150002,42.880001,38.901772,216925300
2015-03-23,42.880001,43.169998,40.830002,40.970001,37.168976,167126300
2015-03-30,41.099998,41.540001,40.119999,40.290001,36.552055,144289700
2015-04-06,40.340000,41.950001,40.180000,41.720001,37.849388,146532400
2015-04-13,41.400002,42.459999,41.160000,41.619999,37.758667,146762000
2015-04-20,41.730000,48.139999,41.680000,47.869999,43.428814,274379000
2015-04-27,47.230000,49.540001,47.220001,48.660000,44.145527,271446400
2015-05-04,48.369999,48.869999,46.020000,47.750000,43.319954,205178300
2015-05-11,47.549999,48.910000,46.419998,48.299999,43.818920,150345900
2015-05-18,47.980000,48.220001,46.820000,46.900002,42.548809,125890500
2015-05-25,46.830002,48.020000,46.189999,46.860001,42.788803,112720800
2015-06-01,47.060001,47.770000,45.840000,46.139999,42.131355,131521400
2015-06-08,46.299999,46.919998,45.459999,45.970001,41.976128,126223900
2015-06-15,45.450001,46.830002,45.020000,46.099998,42.094841,185524200
2015-06-22,46.330002,46.720001,45.029999,45.259998,41.327812,151556800
2015-06-29,45.040001,45.230000,43.939999,44.400002,40.542530,120123000
2015-07-06,43.959999,45.220001,43.320000,44.610001,40.734291,157146200
2015-07-13,44.980000,46.779999,44.950001,46.619999,42.569649,133427000
2015-07-20,46.650002,47.330002,45.099998,45.939999,41.948730,198833400
2015-07-27,45.939999,47.400002,44.790001,46.700001,42.642704,185955600
2015-08-03,46.980000,48.410000,46.259998,46.740002,42.679237,131020500
2015-08-10,46.950001,47.490002,45.709999,47.000000,42.916637,126599300
2015-08-17,46.810001,47.450001,43.070000,43.070000,39.328087,182450600
2015-08-24,40.450001,44.150002,39.720001,43.930000,40.377884,301968200
2015-08-31,43.560001,43.980000,41.660000,42.610001,39.164623,187226100
2015-09-07,43.299999,44.400002,42.750000,43.480000,39.964264,124438400
2015-09-14,43.430000,45.000000,42.860001,43.480000,39.964264,171822300
2015-09-21,43.619999,44.730000,43.270000,43.939999,40.387074,128698500
2015-09-28,43.830002,45.570000,43.049999,45.570000,41.885273,165833200
2015-10-05,45.750000,47.540001,45.700001,47.110001,43.300755,151471300
2015-10-12,46.980000,47.540001,46.500000,47.509998,43.668411,118094400
2015-10-19,47.419998,54.070000,47.020000,52.869999,48.595009,277198300
2015-10-26,52.529999,54.369999,52.500000,52.639999,48.383606,239455900
2015-11-02,52.849998,54.980000,52.619999,54.919998,50.479248,168289400
2015-11-09,54.549999,54.869999,52.529999,52.840000,48.567440,196522400
2015-11-16,53.080002,54.660000,52.849998,54.189999,49.808277,158723300
2015-11-23,54.250000,54.459999,53.580002,53.930000,49.903416,82850100
2015-11-30,54.540001,56.230000,53.930000,55.910000,51.735580,226060600
2015-12-07,55.790001,56.099998,54.009998,54.060001,50.023716,171286300
2015-12-14,54.330002,56.790001,53.680000,54.130001,50.088486,250080300
2015-12-21,54.880001,55.959999,54.230000,55.669998,51.513504,102406800
2015-12-28,55.349998,56.849998,54.980000,55.480000,51.337688,99228300
2016-01-04,54.320000,55.389999,52.070000,52.330002,48.422878,232695500
2016-01-11,52.509998,54.070000,50.340000,50.990002,47.182934,264125500
2016-01-18,51.480000,52.330002,49.099998,52.290001,48.385864,184584500
2016-01-25,51.939999,55.090000,51.020000,55.090000,50.976810,246509200
2016-02-01,54.880001,55.090000,49.560001,50.160000,46.414902,267078200
2016-02-08,49.549999,50.680000,48.189999,50.500000,46.729507,227389900
2016-02-15,50.900002,52.950001,50.130001,51.820000,47.950954,138815300
2016-02-22,52.279999,53.000000,50.200001,51.299999,47.810608,149833500
2016-02-29,51.349998,52.970001,50.660000,52.029999,48.490952,151430400
2016-03-07,51.560001,53.070000,50.580002,53.070000,49.460213,171158000
2016-03-14,52.709999,55.000000,52.630001,53.490002,49.851643,172729500
2016-03-21,53.250000,54.330002,52.930000,54.209999,50.522675,87128800
2016-03-28,54.209999,55.639999,53.330002,55.570000,51.790169,114717400
2016-04-04,55.430000,55.660000,54.209999,54.419998,50.718388,100782100
2016-04-11,54.490002,55.919998,53.759998,55.650002,51.864723,116847400
2016-04-18,55.490002,56.770000,50.770000,51.779999,48.257954,255321700
2016-04-25,51.779999,52.349998,49.349998,49.869999,46.477879,201675300
2016-05-02,50.000000,50.750000,49.459999,50.389999,46.962502,134010300
2016-05-09,50.490002,51.900002,50.000000,51.080002,47.605572,111576800
2016-05-16,50.799999,51.959999,49.820000,50.619999,47.176865,120491200
2016-05-23,50.599998,52.490002,49.980000,52.320000,49.102283,126973400
2016-05-30,52.259998,53.000000,51.599998,51.790001,48.604881,109187000
2016-06-06,51.990002,52.730000,51.040001,51.480000,48.313942,106398400
2016-06-13,49.580002,50.720001,49.060001,50.130001,47.046970,236451600
2016-06-20,50.639999,52.060001,49.520000,49.830002,46.765427,261054300
2016-06-27,49.099998,51.720001,48.040001,51.160000,48.013626,169589200
2016-07-04,50.830002,52.360001,50.389999,52.299999,49.083504,100950100
2016-07-11,52.500000,54.000000,52.470001,53.700001,50.397408,131513500
2016-07-18,53.700001,56.840000,52.930000,56.570000,53.090908,239597600
2016-07-25,56.470001,57.290001,55.720001,56.680000,53.194141,154126200
2016-08-01,56.599998,58.209999,56.139999,57.959999,54.395412,139123900
2016-08-08,58.060001,58.500000,57.619999,57.939999,54.376652,91968600
2016-08-15,58.009998,58.500000,57.200001,57.619999,54.076324,90149100
2016-08-22,57.599998,58.700001,57.259998,58.029999,54.800556,91629600
2016-08-29,58.180000,58.599998,57.009998,57.669998,54.460579,99183600
2016-09-05,57.779999,57.840000,56.209999,56.209999,53.081837,89031800
2016-09-12,56.000000,57.630001,55.610001,57.250000,54.063961,154949700
2016-09-19,57.270000,58.000000,56.750000,57.430000,54.233940,111805900
2016-09-26,57.080002,58.169998,56.680000,57.599998,54.394482,125664500
2016-10-03,57.410000,57.980000,56.970001,57.799999,54.583347,92303400
2016-10-10,57.910000,58.389999,56.320000,57.419998,54.224495,119587600
2016-10-17,57.360001,60.450001,56.660000,59.660000,56.339844,195345700
2016-10-24,59.939999,61.369999,59.580002,59.869999,56.538151,181170400
2016-10-31,60.160000,60.419998,58.520000,58.709999,55.442707,123412100
2016-11-07,59.779999,60.779999,57.630001,59.020000,55.735462,200822900
2016-11-14,59.020000,61.139999,57.279999,60.349998,56.991440,164384000
2016-11-21,60.500000,61.259998,60.130001,60.529999,57.547577,73117800
2016-11-28,60.340000,61.410000,58.799999,59.250000,56.330643,137812500
2016-12-05,59.700001,61.990002,59.560001,61.970001,58.916634,122838900
2016-12-12,61.820000,63.450001,61.720001,62.299999,59.230362,156392700
2016-12-19,62.560001,64.099998,62.419998,63.240002,60.124058,112043300
2016-12-26,63.209999,64.070000,62.029999,62.139999,59.078251,62247000
