Date,Open,High,Low,Close,Adj Close,Volume
2013-12-30,74.000000,74.750000,73.250000,74.000000,50.686550,334339
2014-01-06,73.750000,74.500000,71.500000,72.250000,49.487881,947725
2014-01-13,73.000000,79.000000,72.750000,78.750000,53.940079,1244804
2014-01-20,78.750000,80.500000,76.250000,78.000000,53.426365,1002729
2014-01-27,76.500000,78.750000,75.500000,76.750000,52.570183,665532
2014-02-03,76.750000,78.500000,74.750000,77.500000,53.083893,783804
2014-02-10,77.250000,77.250000,70.750000,72.500000,49.659122,1268015
2014-02-17,73.000000,74.500000,71.250000,73.750000,50.515316,658049
2014-02-24,74.000000,78.500000,71.750000,77.750000,53.255131,1431686
2014-03-03,77.250000,77.750000,75.000000,77.500000,53.083893,1148175
2014-03-10,77.500000,79.000000,75.500000,75.750000,51.885223,766349
2014-03-17,75.750000,79.750000,75.500000,78.500000,53.768841,1229557
2014-03-24,77.750000,84.750000,77.500000,84.250000,57.707325,1363877
2014-03-31,85.000000,87.250000,82.750000,83.250000,57.022373,969938
2014-04-07,82.250000,84.000000,80.000000,80.500000,55.138744,728227
2014-04-14,80.500000,82.500000,80.500000,81.500000,55.823704,243018
2014-04-21,81.500000,84.500000,81.500000,83.500000,57.193611,344643
2014-04-28,83.500000,86.000000,83.250000,85.250000,58.392284,402885
2014-05-05,85.000000,86.250000,83.250000,85.250000,58.392284,412634
2014-05-12,85.750000,93.000000,85.500000,90.000000,61.645809,933574
2014-05-19,90.000000,95.500000,89.250000,93.500000,64.043144,912320
2014-05-26,95.000000,95.000000,92.250000,95.000000,65.070572,1640153
2014-06-02,95.250000,98.250000,88.500000,90.750000,62.159527,1052172
2014-06-09,90.750000,95.250000,89.000000,94.000000,70.108788,748908
2014-06-16,93.750000,105.000000,93.000000,103.000000,76.821335,1675184
2014-06-23,102.500000,107.000000,101.500000,106.500000,79.431763,986517
2014-06-30,106.500000,113.500000,106.000000,112.000000,83.533875,790557
2014-07-07,112.500000,117.500000,111.000000,111.500000,83.160957,814934
2014-07-14,112.000000,119.500000,112.000000,118.000000,88.008911,860294
2014-07-21,118.500000,126.000000,117.000000,123.500000,92.111023,604892
2014-07-28,124.000000,124.500000,118.500000,122.500000,91.365181,649484
2014-08-04,121.000000,122.500000,103.500000,107.000000,79.804680,2268978
2014-08-11,107.500000,110.500000,104.000000,106.000000,79.058846,780884
2014-08-18,106.500000,114.000000,105.500000,111.000000,82.788033,778276
2014-08-25,112.000000,119.500000,110.500000,115.000000,85.771393,803738
2014-09-01,115.000000,118.000000,112.000000,115.500000,86.144310,516671
2014-09-08,115.500000,115.500000,110.000000,110.000000,82.042206,351870
2014-09-15,110.000000,114.500000,109.500000,114.500000,85.398476,311258
2014-09-22,113.500000,114.500000,109.000000,112.500000,83.906792,380707
2014-09-29,113.000000,114.000000,106.000000,108.000000,80.550522,446021
2014-10-06,109.500000,111.000000,90.000000,106.000000,79.058846,636538
2014-10-13,104.000000,111.000000,102.500000,108.500000,80.923447,681683
2014-10-20,111.000000,122.500000,110.000000,121.000000,90.246414,858665
2014-10-27,121.500000,123.000000,118.500000,121.500000,90.619339,328806
2014-11-03,120.000000,130.000000,120.000000,124.000000,92.483940,535157
2014-11-10,125.000000,129.000000,125.000000,126.000000,93.975601,525742
2014-11-17,126.500000,129.500000,122.500000,127.000000,94.721451,644753
2014-11-24,127.000000,131.000000,116.500000,120.500000,89.873505,1239748
2014-12-01,121.500000,125.000000,119.000000,123.000000,91.738091,821329
2014-12-08,122.000000,122.500000,117.500000,118.000000,88.008911,806038
